Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.5020

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed     2 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  65
seed     3 | Wombat(0,1.0 m,0.64) x  219 | MC estimate  65
seed     6 | Wombat(0,1.0 m,0.64) x  219 | MC estimate  65
seed     7 | Wombat(0,1.0 m,0.64) x  216 | MC estimate  65
seed     8 | Wombat(0,1.0 m,0.64) x  210 | MC estimate  65
seed    10 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  65
seed    11 | Wombat(0,1.0 m,0.64) x  214 | MC estimate  65
seed    12 | Wombat(0,1.0 m,0.64) x  212 | MC estimate  65
seed    14 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  65
seed    15 | Wombat(0,1.0 m,0.64) x  223 | MC estimate  65
seed    18 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  65
seed    19 | Wombat(0,1.0 m,0.64) x  214 | MC estimate  65
seed    20 | Wombat(0,1.0 m,0.64) x  224 | MC estimate  65
seed    22 | Wombat(0,1.0 m,0.64) x  216 | MC estimate  65
seed    23 | Wombat(0,1.0 m,0.64) x  228 | MC estimate  65
seed    24 | Wombat(0,1.0 m,0.64) x  224 | MC estimate  65
seed    31 | Wombat(0,1.0 m,0.64) x  228 | MC estimate  66
seed    32 | Wombat(0,1.0 m,0.64) x  235 | MC estimate  66
seed    27 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 112
seed    29 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 104
seed    30 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 129
seed    17 | Wombat(0,1.0 m,0.64) x    7 | MC estimate  91
seed     1 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 103
seed    25 | Wombat(0,1.0 m,0.64) x   10 | MC estimate 117
seed    26 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 103
seed    21 | Wombat(0,1.0 m,0.64) x   29 | MC estimate  99
seed    28 | Wombat(0,1.0 m,0.64) x    5 | MC estimate 134
seed     9 | Wombat(0,1.0 m,0.64) x   33 | MC estimate  98
seed     5 | Wombat(0,1.0 m,0.64) x   33 | MC estimate  96
seed     4 | Wombat(0,1.0 m,0.64) x   68 | MC estimate 104
seed    13 | Wombat(0,1.0 m,0.64) x   99 | MC estimate 101
seed    16 | Wombat(0,1.0 m,0.64) x  132 | MC estimate  94
seed    44 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  66
seed    68 | Wombat(0,1.0 m,0.64) x  228 | MC estimate  66
seed    92 | Wombat(0,1.0 m,0.64) x  243 | MC estimate  66
seed   116 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 108
seed   218 | Wombat(0,1.0 m,0.64) x    2 | MC estimate  97
seed    80 | Wombat(0,1.0 m,0.64) x  224 | MC estimate  66
seed   146 | Wombat(0,1.0 m,0.64) x   66 | MC estimate 131
seed   212 | Wombat(0,1.0 m,0.64) x  238 | MC estimate  69
seed   134 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 127
seed    38 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 103
seed   170 | Wombat(0,1.0 m,0.64) x   20 | MC estimate 101
seed   188 | Wombat(0,1.0 m,0.64) x   22 | MC estimate 138
seed    86 | Wombat(0,1.0 m,0.64) x  216 | MC estimate  66
seed   200 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 116
seed    62 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  66
seed    98 | Wombat(0,1.0 m,0.64) x   60 | MC estimate 119
seed   158 | Wombat(0,1.0 m,0.64) x   32 | MC estimate 130
seed   164 | Wombat(0,1.0 m,0.64) x   46 | MC estimate 150
seed   104 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 142
seed    56 | Wombat(0,1.0 m,0.64) x  222 | MC estimate  66
seed   194 | Wombat(0,1.0 m,0.64) x   84 | MC estimate 132
seed   176 | Wombat(0,1.0 m,0.64) x  118 | MC estimate 106
seed   152 | Wombat(0,1.0 m,0.64) x  144 | MC estimate 113
seed   206 | Wombat(0,1.0 m,0.64) x   29 | MC estimate 142
