seed 22 | gen   51 (1 grids scored in 3.6 m) | maps{1} | new champion: max wsl 11, nw 13, score 72
seed 17 | gen   55 (1 grids scored in 3.7 m) | maps{1} | new champion: max wsl 10, nw 15, score 52
seed 31 | gen   62 (1 grids scored in 3.7 m) | maps{1} | new champion: max wsl 13, nw 17, score 61
seed 21 | gen   82 (1 grids scored in 3.9 m) | maps{1} | new champion: max wsl 13, nw 11, score 67
seed 13 | gen   81 (1 grids scored in 3.9 m) | maps{1} | new champion: max wsl 13, nw 13, score 70
seed 26 | gen   89 (1 grids scored in 4.1 m) | maps{1} | new champion: max wsl 13, nw 20, score 47
seed 24 | gen   95 (1 grids scored in 4.1 m) | maps{1} | new champion: max wsl 13, nw 21, score 51
seed  6 | gen   99 (1 grids scored in 4.2 m) | maps{1} | new champion: max wsl 13, nw 16, score 59
seed  9 | gen  117 (1 grids scored in 4.3 m) | maps{1} | new champion: max wsl 13, nw 19, score 43
seed  3 | gen  116 (1 grids scored in 4.3 m) | maps{1} | new champion: max wsl 13, nw 18, score 46
seed  2 | gen  124 (1 grids scored in 4.4 m) | maps{1} | new champion: max wsl 12, nw 20, score 57
seed 27 | gen  134 (1 grids scored in 4.5 m) | maps{1} | new champion: max wsl 13, nw 17, score 37
seed 19 | gen  137 (1 grids scored in 4.5 m) | maps{1} | new champion: max wsl 13, nw 22, score 54
seed  5 | gen  140 (1 grids scored in 4.6 m) | maps{1} | new champion: max wsl 13, nw 16, score 43
seed 28 | gen  148 (1 grids scored in 4.6 m) | maps{1} | new champion: max wsl 13, nw 18, score 52
seed 13 | gen   82 (16 grids scored in 4.7 m) | maps{1} | new champion: max wsl 13, nw 13, score 75
seed 14 | gen  158 (1 grids scored in 4.8 m) | maps{1} | new champion: max wsl 10, nw 9, score 81
seed  9 | gen  118 (12 grids scored in 4.8 m) | maps{1} | new champion: max wsl 13, nw 19, score 44
seed 10 | gen  173 (1 grids scored in 4.9 m) | maps{1} | new champion: max wsl 13, nw 15, score 67
seed 26 | gen   90 (18 grids scored in 4.9 m) | maps{1} | new champion: max wsl 13, nw 18, score 58
seed  7 | gen  180 (1 grids scored in 5.0 m) | maps{1} | new champion: max wsl 13, nw 18, score 40
seed 29 | gen  184 (1 grids scored in 5.0 m) | maps{1} | new champion: max wsl 13, nw 21, score 74
seed 32 | gen  200 (1 grids scored in 5.2 m) | maps{1} | new champion: max wsl 13, nw 19, score 48
seed  4 | gen  198 (1 grids scored in 5.2 m) | maps{1} | new champion: max wsl 9, nw 11, score 74
seed  3 | gen  117 (19 grids scored in 5.3 m) | maps{1} | new champion: max wsl 13, nw 16, score 80
seed 27 | gen  135 (21 grids scored in 5.5 m) | maps{1} | new champion: max wsl 13, nw 17, score 60
seed 10 | gen  174 (13 grids scored in 5.5 m) | maps{1} | new champion: max wsl 13, nw 17, score 71
seed 15 | gen  240 (1 grids scored in 5.6 m) | maps{1} | new champion: max wsl 13, nw 21, score 54
seed 26 | gen   91 (34 grids scored in 5.7 m) | maps{1} | new champion: max wsl 13, nw 17, score 65
seed  3 | gen  118 (37 grids scored in 6.2 m) | maps{1} | new champion: max wsl 13, nw 16, score 85
seed  9 | gen  119 (41 grids scored in 6.3 m) | maps{1} | new champion: max wsl 13, nw 18, score 63
seed 10 | gen  175 (30 grids scored in 6.4 m) | maps{1} | new champion: max wsl 13, nw 17, score 74
seed 16 | gen  355 (1 grids scored in 6.8 m) | maps{1} | new champion: max wsl 13, nw 22, score 44
seed 21 | gen   84 (23 grids scored in 7.0 m) | maps{1} | new champion: max wsl 13, nw 11, score 87
seed 10 | gen  176 (47 grids scored in 7.2 m) | maps{1} | new champion: max wsl 13, nw 17, score 75
seed 31 | gen   64 (28 grids scored in 7.3 m) | maps{1} | new champion: max wsl 13, nw 17, score 66
seed 16 | gen  356 (15 grids scored in 7.5 m) | maps{1} | new champion: max wsl 13, nw 21, score 48
seed  5 | gen  142 (25 grids scored in 8.3 m) | maps{1} | new champion: max wsl 13, nw 17, score 50
seed 16 | gen  357 (37 grids scored in 8.6 m) | maps{1} | new champion: max wsl 13, nw 21, score 59
seed 10 | gen  177 (76 grids scored in 8.7 m) | maps{1} | new champion: max wsl 13, nw 17, score 77
seed  6 | gen  101 (33 grids scored in 8.8 m) | maps{1} | new champion: max wsl 13, nw 16, score 72
seed  5 | gen  143 (50 grids scored in 9.6 m) | maps{1} | new champion: max wsl 13, nw 18, score 58
seed 13 | gen   84 (53 grids scored in 9.6 m) | maps{1} | new champion: max wsl 13, nw 14, score 77
seed  7 | gen  182 (35 grids scored in 9.8 m) | maps{1} | new champion: max wsl 13, nw 19, score 63
seed 28 | gen  150 (39 grids scored in 10.0 m) | maps{1} | new champion: max wsl 13, nw 16, score 62
seed 11 | gen   46 (46 grids scored in 10.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 84
seed 20 | gen   46 (43 grids scored in 10.4 m) | maps{1} | new champion: max wsl 13, nw 17, score 78
seed 16 | gen  358 (73 grids scored in 10.4 m) | maps{1} | new champion: max wsl 13, nw 21, score 60
seed 24 | gen   97 (40 grids scored in 10.4 m) | maps{1} | new champion: max wsl 13, nw 21, score 59
seed  5 | gen  144 (74 grids scored in 10.8 m) | maps{1} | new champion: max wsl 13, nw 18, score 63
seed  5 | gen  145 (97 grids scored in 11.9 m) | maps{1} | new champion: max wsl 12, nw 18, score 71
seed 17 | gen   57 (49 grids scored in 11.9 m) | maps{1} | new champion: max wsl 13, nw 17, score 60
seed  1 | gen   25 (58 grids scored in 12.8 m) | maps{1} | new champion: max wsl 12, nw 19, score 51
seed 29 | gen  186 (50 grids scored in 13.0 m) | maps{1} | new champion: max wsl 13, nw 21, score 89
seed  4 | gen  200 (44 grids scored in 13.1 m) | maps{1} | new champion: max wsl 13, nw 13, score 102
seed 30 | gen   12 (47 grids scored in 13.4 m) | maps{1} | new champion: max wsl 13, nw 18, score 82
seed 32 | gen  202 (53 grids scored in 13.5 m) | maps{1} | new champion: max wsl 13, nw 19, score 57
seed 26 | gen   93 (91 grids scored in 14.1 m) | maps{1} | new champion: max wsl 13, nw 19, score 75
seed 22 | gen   53 (64 grids scored in 14.3 m) | maps{1} | new champion: max wsl 11, nw 14, score 84
seed 27 | gen  137 (80 grids scored in 14.5 m) | maps{1} | new champion: max wsl 13, nw 18, score 71
seed 12 | gen   23 (70 grids scored in 14.6 m) | maps{1} | new champion: max wsl 12, nw 20, score 86
